,laptop,price,rating,discount
0,ASUS ASUS TUF Gaming A17 Ryzen 7 Octa Core 4800H - (16 ...,"₹79,990",4.5,25% off
1,ASUS ASUS TUF Gaming Core i5 11th Gen - (8 GB/1 TB SSD/...,"₹75,990",4.5,35% off
2,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"₹59,990",4.5,26% off
3,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"₹62,800",4.5,20% off
4,ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H - (8 GB/512 ...,"₹83,990",4.6,22% off
5,ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX - (16 GB/1 ...,"₹1,35,990",4.1,26% off
6,ASUS ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/512 GB...,"₹84,990",4.9,34% off
7,ASUS TUF M3 Wired Optical  Gaming Mouse,"₹1,589",4.7,36% off
8,ASUS Vivobook Gaming Core i7 10th Gen - (16 GB/512 GB S...,"₹67,990",4.1,28% off
9,ASUS ROG Strix G15 Core i7 10th Gen - (16 GB/512 GB SSD...,"₹84,990",4.5,2% off
10,ASUS ROG Strix G15 Ryzen 7 Octa Core 6800H - (16 GB/1 T...,"₹1,14,990",4.8,19% off
11,ASUS ASUS TUF Gaming Ryzen 7 Octa Core 4800H - (16 GB/5...,"₹80,990",4.5,25% off
12,ASUS Vivobook Gaming Core i7 10th Gen - (16 GB/1 TB HDD...,"₹68,990",4.2,29% off
13,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"₹65,990",4.4,26% off
14,ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 ...,"₹76,990",4.5,15% off
15,ASUS TUF Gaming F17 (2021) Core i5 11th Gen - (8 GB/1 T...,"₹78,990",4.5,31% off
16,ASUS ROG Strix G15 Core i5 10th Gen - (8 GB/1 TB SSD/Wi...,"₹82,990",4.5,23% off
17,ASUS TUF Gaming F15 (2021) Core i5 11th Gen - (16 GB/51...,"₹89,990",4.6,30% off
18,ASUS TUF Gaming K3 - RA05 Wired USB Gaming Keyboard,"₹6,900",4.6,13% off
19,ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,39,990",4.3,25% off
20,ASUS ROG Chakram Core Wired Optical  Gaming Mouse,"₹6,320",4.6,20% off
21,ASUS ASUS TUF Gaming Core i7 11th Gen - (16 GB/512 GB S...,"₹94,990",4.5,6% off
22,ASUS ROG Strix G15 (2020) Octa Core i7 10th Gen - (16 G...,"₹92,590",4.6,20% off
23,ASUS ROG Strix G15 Ryzen 9 Octa Core 5900HX - (16 GB/51...,"₹97,990",4.7,28% off
24,ASUS ROG Strix G15 (2021) Ryzen 7 Octa Core 4800H - (8 ...,"₹70,990",4.5,21% off
25,ASUS Vivobook 15 Core i5 11th Gen - (8 GB/1 TB HDD/256 ...,"₹54,890",4.4,30% off
26,ASUS Vivobook Pro 14X OLED (2021) Ryzen 9 Octa Core 590...,"₹1,09,990",4.5,23% off
27,ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/512 GB SSD...,"₹54,990",4.3,28% off
28,ASUS Vivobook Gaming Core i7 10th Gen - (8 GB/512 GB SS...,"₹63,990",4.5,28% off
29,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/1 TB SSD/W...,"₹63,580",4.7,21% off
30,ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5900HS - (16...,"₹1,09,990",4.4,37% off
31,ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Oct...,"₹1,54,990",4.6,25% off
32,ASUS ROG Strix SCAR 17 Core i9 12th Gen - (32 GB/1 TB S...,"₹2,34,990",5,18% off
33,ASUS Vivobook Gaming Core i5 10th Gen - (8 GB/1 TB HDD/...,"₹62,990",4.4,23% off
34,ASUS TUF Dash F15 (2021) Core i5 11th Gen - (16 GB/512 ...,"₹87,490",4.4,16% off
35,ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,25% off
36,ASUS ROG Strix Impact II Wired Optical  Gaming Mouse,"₹2,790",4.6,11% off
37,ASUS TUF Ryzen 7 Quad Core 3750H - (8 GB/512 GB SSD/Win...,"₹66,890",4.4,14% off
38,ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD...,"₹63,990",4.4,24% off
39,ASUS Vivobook Gaming Core i5 9th Gen - (8 GB/1 TB HDD/2...,"₹57,990",4.3,25% off
